ts_epoch,load1,mem_used_kb,temp_mC
1784353757,3.45,311540,41868
1784353758,3.45,316052,41381
1784353759,3.45,313392,40407
1784353760,3.25,310360,40894
1784353761,3.25,307816,41381
1784353762,3.25,299368,41868
1784353763,3.25,295964,40407
1784353765,3.25,292764,40894
1784353766,2.99,290784,40894
1784353767,2.99,288476,41381
1784353768,2.99,286680,40894
1784353769,2.99,284660,39920
1784353770,2.83,283420,40407
1784353771,2.83,282304,40407
1784353772,2.83,281260,40407
1784353773,2.83,283724,39920
1784353774,2.83,283864,40407
1784353775,2.77,282548,39920
1784353776,2.77,281980,41381
1784353777,2.77,281800,40407
1784353778,2.77,281716,39920
1784353779,2.77,281352,40894
1784353780,2.70,281604,40894
1784353781,2.70,281812,40894
1784353782,2.70,281220,40407
1784353783,2.70,281444,39920
1784353784,2.70,281632,39920
1784353785,2.49,282056,40407
1784353786,2.49,281508,40894
1784353787,2.49,281228,39920
1784353788,2.49,281120,39920
1784353789,2.49,281248,39920
1784353791,2.37,281596,40894
1784353792,2.37,281260,40407
1784353793,2.37,280952,39920
1784353794,2.37,280508,39920
1784353795,2.34,280396,39433
1784353796,2.34,280016,39433
1784353797,2.34,280044,39920
1784353798,2.34,280444,40407
1784353799,2.34,280560,39433
1784353800,2.31,280756,40407
1784353801,2.31,280460,40894
1784353802,2.31,280632,39433
1784353803,2.31,281328,39920
1784353804,2.31,280860,38946
1784353805,2.29,280652,40894
1784353806,2.29,289276,39920
1784353807,2.29,288980,39433
1784353808,2.29,289348,39920
1784353809,2.29,290548,38946
1784353810,2.26,289748,38946
1784353811,2.26,289840,40407
1784353812,2.26,289384,39920
1784353813,2.26,289032,38946
1784353814,2.26,288704,40407
1784353815,2.24,288540,39433
1784353817,2.24,288268,39920
1784353818,2.24,288344,39920
1784353819,2.24,288600,40407
1784353820,2.14,287748,39433
1784353821,2.14,288392,39920
1784353822,2.14,288464,39920
1784353823,2.14,287900,38946
1784353824,2.14,288716,38946
1784353825,2.05,288288,40407
1784353826,2.05,288900,40407
1784353827,2.05,288772,39433
1784353828,2.05,288392,40407
1784353829,2.05,287712,40407
1784353830,1.97,288204,39920
1784353831,1.97,288052,39433
1784353832,1.97,287988,39433
1784353833,1.97,288064,39433
1784353834,1.97,288208,39920
1784353835,1.89,288500,38946
1784353836,1.89,288276,39920
1784353837,1.89,288956,38946
1784353838,1.89,289044,39433
1784353839,1.89,288616,39920
1784353840,1.82,288508,38946
1784353842,1.82,288540,39920
1784353843,1.82,288872,39433
1784353844,1.82,288644,39920
1784353845,1.83,288768,39920
1784353846,1.83,289128,39920
1784353847,1.83,288748,38946
1784353848,1.83,288724,39433
1784353849,1.83,288796,39433
1784353850,1.76,287804,38946
1784353851,1.76,288216,39433
1784353852,1.76,287924,39920
1784353853,1.76,288428,39433
1784353854,1.76,288532,38459
1784353855,1.70,288464,38946
1784353856,1.70,288640,40894
1784353857,1.70,288144,39920
1784353858,1.70,288500,38946
1784353859,1.70,288060,39433
1784353860,1.73,288064,39920
1784353861,1.73,288716,39433
1784353862,1.73,287764,39920
1784353863,1.73,287704,39920
1784353864,1.73,287232,38946
1784353865,1.75,287612,38946
1784353866,1.75,287596,39433
1784353868,1.75,287216,40407
1784353869,1.75,287096,39433
1784353870,1.75,287204,38946
1784353871,1.77,286744,39433
1784353872,1.77,287236,39920
1784353873,1.77,294936,40407
1784353874,1.77,294676,38946
1784353875,1.79,295068,39920
1784353876,1.79,294976,38946
1784353877,1.79,294680,40407
1784353878,1.79,295364,39920
1784353879,1.79,295056,38946
1784353880,1.72,295464,39433
1784353881,1.72,295444,39433
1784353882,1.72,295044,38946
1784353883,1.72,294916,39433
1784353884,1.72,295216,40407
1784353885,1.67,295164,39433
1784353886,1.67,295052,40894
1784353887,1.67,294920,39920
1784353888,1.67,295628,38946
1784353889,1.67,295384,40407
1784353890,1.69,295312,39433
1784353891,1.69,295164,39433
1784353893,1.69,294964,39433
1784353894,1.69,295052,39920
1784353895,1.69,294904,39920
1784353896,1.80,295276,39920
1784353897,1.80,315132,39433
1784353898,1.80,319508,41381
1784353899,1.80,311136,40894
1784353900,1.81,310980,38946
1784353901,1.81,309760,39920
1784353902,1.81,308124,40407
1784353903,1.81,306504,39433
1784353904,1.81,304720,38946
1784353905,1.83,304036,39920
1784353906,1.83,302540,38459
1784353907,1.83,302348,39920
1784353908,1.83,301800,39433
1784353909,1.83,301828,39433
1784353910,2.00,301016,38946
1784353911,2.00,301008,39433
1784353912,2.00,300496,39433
1784353913,2.00,299616,40894
1784353914,2.00,299468,38946
1784353915,1.84,298752,40407
1784353916,1.84,298860,38946
1784353918,1.84,298212,39433
1784353919,1.84,297588,39920
1784353920,1.84,297272,39433
1784353921,1.78,296488,39920
1784353922,1.78,295804,39920
1784353923,1.78,296056,38946
1784353924,1.78,295812,39920
1784353925,1.63,296404,39433
1784353926,1.63,296228,38946
1784353927,1.63,295788,39433
1784353928,1.63,295624,39433
1784353929,1.63,295328,39433
1784353930,1.50,295324,39433
1784353931,1.50,295484,39433
1784353932,1.50,295084,39433
1784353933,1.50,295044,38459
1784353934,1.50,294960,38946
1784353935,1.54,294840,39920
1784353936,1.54,295292,39433
1784353937,1.54,294680,39920
1784353938,1.54,295388,40407
1784353939,1.54,294884,39433
1784353940,1.58,303400,40407
1784353941,1.58,303548,39920
1784353942,1.58,303444,39433
1784353944,1.58,309220,38946
1784353945,1.58,309212,38459
1784353946,1.53,309464,39433
1784353947,1.53,309716,38946
1784353948,1.53,310312,38459
1784353949,1.53,309844,39433
1784353950,1.41,309696,38459
1784353951,1.41,309064,39920
1784353952,1.41,309568,39920
1784353953,1.41,309456,38946
1784353954,1.41,309464,39433
1784353955,1.46,309316,38946
1784353956,1.46,309632,39920
1784353957,1.46,309628,39433
1784353958,1.46,309408,38946
1784353959,1.46,309384,40407
1784353960,1.50,309572,39433
1784353961,1.50,309024,38946
1784353962,1.50,309336,38946
1784353963,1.50,309196,39433
1784353964,1.50,309268,40407
1784353965,1.54,309268,39433
1784353966,1.54,309340,39433
1784353967,1.54,309416,39920
1784353968,1.54,309360,39433
1784353970,1.54,309280,39433
1784353971,1.58,309312,38946
1784353972,1.58,309280,39920
1784353973,1.58,309564,39433
1784353974,1.58,309848,39920
1784353975,1.45,309552,39433
1784353976,1.45,308916,39433
1784353977,1.45,308916,39920
1784353978,1.45,308852,38459
1784353979,1.45,309032,38946
1784353980,1.41,308924,40407
1784353981,1.41,308524,39433
1784353982,1.41,308816,38946
1784353983,1.41,308416,39433
1784353984,1.41,309096,39433
1784353985,1.38,308808,38946
1784353986,1.38,309060,38946
1784353987,1.38,308720,38946
1784353988,1.38,308952,39433
1784353989,1.38,308592,40407
1784353990,1.35,308592,39920
1784353991,1.35,308860,39433
1784353992,1.35,309112,40407
1784353993,1.35,309532,39433
1784353995,1.35,309452,40407
1784353996,1.24,309348,38946
1784353997,1.24,309232,39433
1784353998,1.24,309380,39920
1784353999,1.24,309296,38459
1784354000,1.22,309280,38946
1784354001,1.22,309248,39920
1784354002,1.22,309504,38946
1784354003,1.22,309616,38946
1784354004,1.22,309320,38946
1784354005,1.29,309244,38946
1784354006,1.29,309732,39920
1784354007,1.29,309360,39920
1784354008,1.29,309612,39433
1784354009,1.29,310472,38946
1784354010,1.26,310452,39433
1784354011,1.26,309804,39433
1784354012,1.26,310112,38946
1784354013,1.26,311192,39920
1784354014,1.26,310972,38946
1784354015,1.24,311224,38946
1784354016,1.24,311196,38946
1784354017,1.24,311072,39433
1784354018,1.24,311092,38946
1784354019,1.24,311240,39433
1784354021,1.30,310964,38946
1784354022,1.30,313136,40407
1784354023,1.30,312840,39433
1784354024,1.30,313128,39433
1784354025,1.36,312684,39433
1784354026,1.36,313040,38459
1784354027,1.36,312960,39920
1784354028,1.36,312996,38946
1784354029,1.36,313100,39433
1784354030,1.33,312560,39433
1784354031,1.33,313268,39433
1784354032,1.33,313372,39433
1784354033,1.33,313196,40407
1784354034,1.33,312944,39433
1784354035,1.22,312688,39433
1784354036,1.22,312836,39433
1784354037,1.22,313340,38946
1784354038,1.22,317540,39920
1784354039,1.22,317288,38946
1784354040,1.20,316952,38946
1784354041,1.20,316948,38946
1784354042,1.20,316844,39433
1784354043,1.20,316652,39433
1784354044,1.20,317284,39433
1784354045,1.27,317220,39920
1784354047,1.27,316696,38459
1784354048,1.27,317476,39433
1784354049,1.27,317328,39433
1784354050,1.27,317056,39433
1784354051,1.65,317200,39433
1784354052,1.65,317080,39433
1784354053,1.65,317580,39920
1784354054,1.65,317312,39920
1784354055,1.84,316856,39920
1784354056,1.84,316416,39433
1784354057,1.84,316300,40407
1784354058,1.84,316188,39433
1784354059,1.84,316252,39433
1784354060,1.77,316040,39920
1784354061,1.77,316036,39920
1784354062,1.77,315996,39920
1784354063,1.77,316208,39433
1784354064,1.77,316348,39433
1784354065,1.63,316316,39433
1784354066,1.63,316124,38946
1784354067,1.63,316560,39920
1784354068,1.63,316164,40407
1784354069,1.63,316084,39433
1784354070,1.58,316336,38946
1784354071,1.58,324364,38946
1784354073,1.58,324444,39433
1784354074,1.58,325152,40407
1784354075,1.58,325228,39920
1784354076,1.69,325376,40407
1784354077,1.69,324752,38946
1784354078,1.69,325108,38946
1784354079,1.69,324996,39920
1784354080,1.63,324832,39920
1784354081,1.63,324812,39433
1784354082,1.63,325268,39433
1784354083,1.63,325016,38946
1784354084,1.63,325148,39920
1784354085,1.58,324856,39920
1784354086,1.58,324796,39920
1784354087,1.58,325108,39433
1784354088,1.58,325212,39920
1784354089,1.58,324896,39920
1784354090,1.78,325044,38459
1784354091,1.78,325008,38459
1784354092,1.78,324880,39433
1784354093,1.78,325048,39920
1784354094,1.78,324844,40407
1784354095,1.71,324836,39433
1784354096,1.71,324836,39433
1784354098,1.71,324924,39920
1784354099,1.71,324620,39920
1784354100,1.71,324568,39920
1784354101,1.66,324080,39433
1784354102,1.66,324392,39433
1784354103,1.66,324092,39433
1784354104,1.66,324236,40407
1784354105,1.60,324740,38946
1784354106,1.60,324064,39433
1784354107,1.60,324312,39920
1784354108,1.60,324408,38946
1784354109,1.60,324804,39433
1784354110,1.56,324804,38459
1784354111,1.56,324956,39920
1784354112,1.56,325164,39920
1784354113,1.56,325152,39920
1784354114,1.56,325232,39433
1784354115,1.51,324680,39433
1784354116,1.51,324220,40407
1784354117,1.51,324220,38946
1784354118,1.51,324396,38946
1784354119,1.51,323996,39920
1784354120,1.55,324136,39433
1784354121,1.55,324136,39920
1784354122,1.55,323776,38946
1784354124,1.55,324180,38946
1784354125,1.55,324432,39433
1784354126,1.75,324388,39433
1784354127,1.75,324268,38946
1784354128,1.75,326144,38459
1784354129,1.75,332352,40407
1784354130,1.61,332344,38946
1784354131,1.61,332596,38459
1784354132,1.61,332396,38459
1784354133,1.61,332396,38946
1784354134,1.61,332500,37972
1784354135,1.48,332212,38459
1784354136,1.48,332512,39433
1784354137,1.48,332812,37485
1784354138,1.48,332576,38459
1784354139,1.48,332596,38459
1784354140,1.36,332404,38946
1784354141,1.36,331920,38459
1784354142,1.36,331568,37972
1784354143,1.36,330768,38946
1784354144,1.36,330428,36998
1784354145,1.25,330196,37972
1784354146,1.25,330260,37972
1784354147,1.25,330288,37972
1784354148,1.25,330144,38946
1784354150,1.25,330220,36998
1784354151,1.31,329808,37972
1784354152,1.31,329808,37485
1784354153,1.31,329764,37972
1784354154,1.31,329676,37485
1784354155,1.20,329692,38459
1784354156,1.20,329600,37972
1784354157,1.20,329660,38459
1784354158,1.20,329564,38459
1784354159,1.20,329508,37972
1784354160,1.11,329916,37485
1784354161,1.11,330208,37972
1784354162,1.11,329780,37972
1784354163,1.11,329588,36998
1784354164,1.11,330032,37485
1784354165,1.02,330180,37972
1784354166,1.02,329844,37485
1784354167,1.02,330224,37972
1784354168,1.02,329776,38459
1784354169,1.02,329584,38459
1784354170,0.94,329576,37972
1784354171,0.94,329340,37972
1784354172,0.94,329556,37485
1784354173,0.94,329912,37485
1784354174,0.94,330328,38459
1784354176,0.86,330184,37485
1784354177,0.86,329684,37485
1784354178,0.86,329832,38459
1784354179,0.86,329980,37972
1784354180,0.87,330084,38459
1784354181,0.87,329860,37972
1784354182,0.87,329860,38459
1784354183,0.87,329136,37972
1784354184,0.87,329640,38459
1784354185,0.80,329364,37972
1784354186,0.80,329364,38459
1784354187,0.80,329928,37972
1784354188,0.80,329804,37972
1784354189,0.80,329612,37485
1784354190,0.74,330136,36998
1784354191,0.74,329988,37972
1784354192,0.74,329952,37485
1784354193,0.74,329880,37972
1784354194,0.74,330020,37972
1784354195,0.68,329780,38459
1784354196,0.68,329544,37972
1784354197,0.68,330292,37485
1784354198,0.68,330292,37485
1784354199,0.68,329888,37972
1784354201,0.62,329484,38459
1784354202,0.62,329576,37485
1784354203,0.62,329976,37972
1784354204,0.62,329828,37972
1784354205,0.62,329924,37972
1784354206,0.97,329792,37972
1784354207,0.97,329408,37972
1784354208,0.97,329724,37485
1784354209,0.97,330228,37972
1784354210,0.90,329908,38459
1784354211,0.90,329804,37485
1784354212,0.90,330280,36998
1784354213,0.90,329932,37485
1784354214,0.90,329932,38459
1784354215,0.82,329992,38459
1784354216,0.82,330096,37485
1784354217,0.82,330664,37485
1784354218,0.82,330556,37972
1784354219,0.82,330304,37972
1784354220,0.76,330408,37972
1784354221,0.76,330544,38459
1784354222,0.76,330684,37972
1784354223,0.76,330580,37485
1784354224,0.76,330264,37485
1784354225,0.94,367460,38459
1784354227,0.94,397144,39433
1784354228,0.94,449156,38459
1784354229,0.94,471840,38946
